country,industry,ai_tool,year,age_group,company_size,avg_adoption_rate,total_dau,records_count
Australia,Agriculture,Claude,2023,45-54,SME,58.09,18149,3
Australia,Agriculture,Claude,2023,45-54,Startup,57.705,14454,2
Australia,Agriculture,Claude,2023,55+,Enterprise,59.3733333333333,9240,3
Australia,Agriculture,Claude,2023,55+,Startup,50.5133333333333,8051,3
Australia,Agriculture,Claude,2024,18-24,Enterprise,38.06,3261,2
Australia,Agriculture,Claude,2024,18-24,SME,70.96,11213,3
Australia,Agriculture,Claude,2024,18-24,Startup,66.7533333333333,18899,3
Australia,Agriculture,Claude,2024,25-34,Enterprise,43.83625,50337,8
Australia,Agriculture,Claude,2024,25-34,SME,62.5257142857143,37327,7
Australia,Agriculture,Claude,2024,25-34,Startup,36.2833333333333,11212,3
Australia,Agriculture,Claude,2024,35-44,Enterprise,51.22,36547,7
Australia,Agriculture,Claude,2024,35-44,SME,69.3975,23632,4
Australia,Agriculture,Claude,2024,35-44,Startup,45.6366666666667,16648,3
Australia,Agriculture,Claude,2024,45-54,Enterprise,73.305,10458,2
Australia,Agriculture,Claude,2024,45-54,SME,57.325,27360,4
Australia,Agriculture,Claude,2024,45-54,Startup,25.0,6578,1
Australia,Agriculture,Claude,2024,55+,Enterprise,39.6933333333333,16915,3
Australia,Agriculture,Claude,2024,55+,SME,55.4722222222222,30736,9
Australia,Agriculture,Claude,2024,55+,Startup,65.395,29580,4
Australia,Agriculture,Midjourney,2023,18-24,Enterprise,38.11125,52203,8
Australia,Agriculture,Midjourney,2023,18-24,SME,46.0592857142857,51341,14
Australia,Agriculture,Midjourney,2023,18-24,Startup,35.944,61509,10
Australia,Agriculture,Midjourney,2023,25-34,Enterprise,52.626,43588,10
Australia,Agriculture,Midjourney,2023,25-34,SME,44.2055555555555,47327,9
Australia,Agriculture,Midjourney,2023,25-34,Startup,51.3458333333333,41182,12
Australia,Agriculture,Midjourney,2023,35-44,Enterprise,58.7582352941176,86552,17
Australia,Agriculture,Midjourney,2023,35-44,SME,45.9533333333333,39275,9
Australia,Agriculture,Midjourney,2023,35-44,Startup,53.626,55150,10
Australia,Agriculture,Midjourney,2023,45-54,Enterprise,55.4616666666667,38100,6
Australia,Agriculture,Midjourney,2023,45-54,SME,51.72875,42258,8
Australia,Agriculture,Midjourney,2023,45-54,Startup,47.05,42899,10
Australia,Agriculture,Midjourney,2023,55+,Enterprise,49.70625,78850,16
Australia,Agriculture,Midjourney,2023,55+,SME,38.8888888888889,41883,9
Australia,Agriculture,Midjourney,2023,55+,Startup,47.2521428571429,67615,14
Australia,Agriculture,Midjourney,2024,18-24,Enterprise,38.705,173533,30
Australia,Agriculture,Midjourney,2024,18-24,SME,50.5396428571429,126687,28
Australia,Agriculture,Midjourney,2024,18-24,Startup,49.6606896551724,158886,29
Australia,Agriculture,Midjourney,2024,25-34,Enterprise,49.332962962963,136549,27
Australia,Agriculture,Midjourney,2024,25-34,SME,45.47,112210,20
Australia,Agriculture,Midjourney,2024,25-34,Startup,43.961875,165797,32
Australia,Agriculture,Midjourney,2024,35-44,Enterprise,60.0465,68418,20
Australia,Agriculture,Midjourney,2024,35-44,SME,43.98125,112067,24
Australia,Agriculture,Midjourney,2024,35-44,Startup,42.4803846153846,141722,26
Australia,Agriculture,Midjourney,2024,45-54,Enterprise,57.6253571428571,147675,28
Australia,Agriculture,Midjourney,2024,45-54,SME,59.5472222222222,88439,18
Australia,Agriculture,Midjourney,2024,45-54,Startup,50.7781481481481,132880,27
Australia,Agriculture,Midjourney,2024,55+,Enterprise,53.4073076923077,134995,26
Australia,Agriculture,Midjourney,2024,55+,SME,57.5365,107466,20
Australia,Agriculture,Midjourney,2024,55+,Startup,54.4240540540541,212172,37
Australia,Agriculture,Stable Diffusion,2023,18-24,Enterprise,56.925,17361,4
Australia,Agriculture,Stable Diffusion,2023,18-24,SME,35.3416666666667,26357,6
Australia,Agriculture,Stable Diffusion,2023,18-24,Startup,33.055,24288,4
Australia,Agriculture,Stable Diffusion,2023,25-34,Enterprise,64.2225,48616,8
Australia,Agriculture,Stable Diffusion,2023,25-34,SME,64.3185714285714,43229,7
Australia,Agriculture,Stable Diffusion,2023,25-34,Startup,50.7766666666667,11787,3
Australia,Agriculture,Stable Diffusion,2023,35-44,Enterprise,58.09,27359,6
Australia,Agriculture,Stable Diffusion,2023,35-44,SME,58.2866666666667,7387,3
Australia,Agriculture,Stable Diffusion,2023,35-44,Startup,42.02375,45736,8
Australia,Agriculture,Stable Diffusion,2023,45-54,Enterprise,39.3242857142857,35580,7
Australia,Agriculture,Stable Diffusion,2023,45-54,SME,40.1266666666667,19922,3
Australia,Agriculture,Stable Diffusion,2023,45-54,Startup,57.23125,39544,8
Australia,Agriculture,Stable Diffusion,2023,55+,Enterprise,50.2333333333333,10869,3
Australia,Agriculture,Stable Diffusion,2023,55+,SME,37.068,13821,5
Australia,Agriculture,Stable Diffusion,2023,55+,Startup,56.155,39126,6
Australia,Agriculture,Stable Diffusion,2024,18-24,Enterprise,57.589,38801,10
Australia,Agriculture,Stable Diffusion,2024,18-24,SME,50.5116666666667,121221,24
Australia,Agriculture,Stable Diffusion,2024,18-24,Startup,56.3225,29947,8
Australia,Agriculture,Stable Diffusion,2024,25-34,Enterprise,48.4986666666667,75076,15
Australia,Agriculture,Stable Diffusion,2024,25-34,SME,40.7427777777778,84508,18
Australia,Agriculture,Stable Diffusion,2024,25-34,Startup,52.4935,96035,20
Australia,Agriculture,Stable Diffusion,2024,35-44,Enterprise,51.94,42298,9
Australia,Agriculture,Stable Diffusion,2024,35-44,SME,49.58,47476,11
Australia,Agriculture,Stable Diffusion,2024,35-44,Startup,41.2683333333333,64040,12
Australia,Agriculture,Stable Diffusion,2024,45-54,Enterprise,53.1061538461538,52700,13
Australia,Agriculture,Stable Diffusion,2024,45-54,SME,35.6622222222222,54888,9
Australia,Agriculture,Stable Diffusion,2024,45-54,Startup,48.3338888888889,70746,18
Australia,Agriculture,Stable Diffusion,2024,55+,Enterprise,52.7816666666667,77922,12
Australia,Agriculture,Stable Diffusion,2024,55+,SME,46.8186666666667,73795,15
Australia,Agriculture,Stable Diffusion,2024,55+,Startup,55.3293333333333,66995,15
Australia,Education,Bard,2023,18-24,Enterprise,31.145,14036,4
Australia,Education,Bard,2023,18-24,SME,59.565,25468,4
Australia,Education,Bard,2023,18-24,Startup,47.036,33359,5
Australia,Education,Bard,2023,25-34,Enterprise,50.4975,24817,4
Australia,Education,Bard,2023,25-34,SME,59.5633333333333,13547,3
Australia,Education,Bard,2023,25-34,Startup,72.09,5257,2
Australia,Education,Bard,2023,35-44,Enterprise,65.792,23683,5
Australia,Education,Bard,2023,35-44,SME,80.515,16046,2
Australia,Education,Bard,2023,35-44,Startup,77.2825,22061,4
Australia,Education,Bard,2023,45-54,Enterprise,59.86,12228,2
Australia,Education,Bard,2023,45-54,SME,56.8475,24828,4
Australia,Education,Bard,2023,45-54,Startup,42.665,3728,2
Australia,Education,Bard,2023,55+,Enterprise,56.5133333333333,28509,6
Australia,Education,Bard,2023,55+,SME,54.832,32695,5
Australia,Education,Bard,2023,55+,Startup,57.6928571428571,36098,7
Australia,Education,Bard,2024,18-24,Enterprise,48.815625,70812,16
Australia,Education,Bard,2024,18-24,SME,34.9561538461538,56949,13
Australia,Education,Bard,2024,18-24,Startup,28.545,19169,4
Australia,Education,Bard,2024,25-34,Enterprise,57.8133333333333,31985,6
Australia,Education,Bard,2024,25-34,SME,47.86,52494,12
Australia,Education,Bard,2024,25-34,Startup,59.5388888888889,43883,9
Australia,Education,Bard,2024,35-44,Enterprise,59.8771428571429,20162,7
Australia,Education,Bard,2024,35-44,SME,46.111,43725,10
Australia,Education,Bard,2024,35-44,Startup,49.844,73440,15
Australia,Education,Bard,2024,45-54,Enterprise,51.4755555555556,43233,9
Australia,Education,Bard,2024,45-54,SME,54.0490909090909,48228,11
Australia,Education,Bard,2024,45-54,Startup,51.95,49460,9
Australia,Education,Bard,2024,55+,Enterprise,25.68,38886,6
Australia,Education,Bard,2024,55+,SME,66.1166666666667,24922,6
Australia,Education,Bard,2024,55+,Startup,37.24875,49797,8
Australia,Education,ChatGPT,2023,18-24,Enterprise,52.555,38392,8
Australia,Education,ChatGPT,2023,18-24,SME,43.358,80797,15
Australia,Education,ChatGPT,2023,18-24,Startup,45.5607142857143,56781,14
Australia,Education,ChatGPT,2023,25-34,Enterprise,47.0361538461539,71524,13
Australia,Education,ChatGPT,2023,25-34,SME,52.79,82853,15
Australia,Education,ChatGPT,2023,25-34,Startup,50.2207692307692,73440,13
Australia,Education,ChatGPT,2023,35-44,Enterprise,53.1285,98714,20
Australia,Education,ChatGPT,2023,35-44,SME,51.6093333333333,71390,15
Australia,Education,ChatGPT,2023,35-44,Startup,40.0190909090909,46985,11
Australia,Education,ChatGPT,2023,45-54,Enterprise,61.57,86140,15
Australia,Education,ChatGPT,2023,45-54,SME,31.954,54412,10
Australia,Education,ChatGPT,2023,45-54,Startup,36.8946153846154,61416,13
Australia,Education,ChatGPT,2023,55+,Enterprise,50.465,64248,12
Australia,Education,ChatGPT,2023,55+,SME,56.1808333333333,61139,12
Australia,Education,ChatGPT,2023,55+,Startup,52.22875,27383,8
Australia,Education,ChatGPT,2024,18-24,Enterprise,43.895,170758,32
Australia,Education,ChatGPT,2024,18-24,SME,41.1086111111111,184087,36
Australia,Education,ChatGPT,2024,18-24,Startup,53.0315625,134375,32
Australia,Education,ChatGPT,2024,25-34,Enterprise,39.8947368421053,188497,38
Australia,Education,ChatGPT,2024,25-34,SME,57.7913888888889,207798,36
Australia,Education,ChatGPT,2024,25-34,Startup,38.9307407407407,113848,27
Australia,Education,ChatGPT,2024,35-44,Enterprise,39.4562857142857,164239,35
Australia,Education,ChatGPT,2024,35-44,SME,44.7843243243243,182591,37
Australia,Education,ChatGPT,2024,35-44,Startup,49.1744186046512,218060,43
Australia,Education,ChatGPT,2024,45-54,Enterprise,59.6819444444444,221924,36
Australia,Education,ChatGPT,2024,45-54,SME,50.2373333333333,150363,30
Australia,Education,ChatGPT,2024,45-54,Startup,55.6408823529412,177751,34
Australia,Education,ChatGPT,2024,55+,Enterprise,53.2494736842105,242301,38
Australia,Education,ChatGPT,2024,55+,SME,51.1397368421053,226262,38
Australia,Education,ChatGPT,2024,55+,Startup,58.0105405405405,157791,37
Australia,Education,Claude,2023,18-24,Enterprise,19.3133333333333,10213,3
Australia,Education,Claude,2023,18-24,SME,51.69,9006,1
Australia,Education,Claude,2023,18-24,Startup,80.57,4552,1
Australia,Education,Claude,2023,25-34,Enterprise,48.47,1329,2
Australia,Education,Claude,2023,25-34,SME,99.92,3274,1
Australia,Education,Claude,2023,25-34,Startup,40.5,16569,3
Australia,Education,Claude,2023,35-44,Enterprise,38.71,13989,3
Australia,Education,Claude,2023,35-44,SME,1.18,2542,1
Australia,Education,Claude,2023,35-44,Startup,46.83,9274,1
Australia,Education,Claude,2023,45-54,Enterprise,43.925,9523,2
Australia,Education,Claude,2023,45-54,Startup,61.35,2161,1
Australia,Education,Claude,2023,55+,Enterprise,68.46,1529,2
Australia,Education,Claude,2023,55+,SME,15.9,1123,1
Australia,Education,Claude,2023,55+,Startup,97.07,9420,1
Australia,Education,Claude,2024,18-24,Enterprise,36.525,35296,6
Australia,Education,Claude,2024,18-24,SME,45.804,24726,5
Australia,Education,Claude,2024,18-24,Startup,34.306,24874,5
Australia,Education,Claude,2024,25-34,Enterprise,35.675,13183,4
Australia,Education,Claude,2024,25-34,SME,41.64,7993,1
Australia,Education,Claude,2024,25-34,Startup,54.4357142857143,37588,7
Australia,Education,Claude,2024,35-44,Enterprise,69.755,13168,6
Australia,Education,Claude,2024,35-44,SME,47.63,18299,3
Australia,Education,Claude,2024,35-44,Startup,59.0983333333333,35314,6
Australia,Education,Claude,2024,45-54,Enterprise,54.5385714285714,30606,7
Australia,Education,Claude,2024,45-54,SME,69.3725,29153,4
Australia,Education,Claude,2024,45-54,Startup,85.02,1224,1
Australia,Education,Claude,2024,55+,Enterprise,42.07,17728,4
Australia,Education,Claude,2024,55+,SME,57.3925,18026,4
Australia,Education,Claude,2024,55+,Startup,78.685,20311,4
Australia,Education,Midjourney,2023,18-24,Enterprise,62.5388888888889,55116,9
Australia,Education,Midjourney,2023,18-24,SME,38.1391666666667,47682,12
Australia,Education,Midjourney,2023,18-24,Startup,53.846,62893,10
Australia,Education,Midjourney,2023,25-34,Enterprise,58.0409090909091,62153,11
Australia,Education,Midjourney,2023,25-34,SME,59.4269230769231,75159,13
Australia,Education,Midjourney,2023,25-34,Startup,49.4618181818182,52072,11
Australia,Education,Midjourney,2023,35-44,Enterprise,54.8072727272727,38762,11
Australia,Education,Midjourney,2023,35-44,SME,44.6645454545455,69553,11
Australia,Education,Midjourney,2023,35-44,Startup,58.875,46056,12
Australia,Education,Midjourney,2023,45-54,Enterprise,47.24,36416,7
Australia,Education,Midjourney,2023,45-54,SME,53.9463636363636,50147,11
Australia,Education,Midjourney,2023,45-54,Startup,52.734,47429,10
Australia,Education,Midjourney,2023,55+,Enterprise,48.7057142857143,33788,7
Australia,Education,Midjourney,2023,55+,SME,54.8915384615385,61451,13
Australia,Education,Midjourney,2023,55+,Startup,50.58625,35712,8
Australia,Education,Midjourney,2024,18-24,Enterprise,40.3653846153846,140583,26
Australia,Education,Midjourney,2024,18-24,SME,39.6147826086956,104978,23
Australia,Education,Midjourney,2024,18-24,Startup,52.1542857142857,158264,28
Australia,Education,Midjourney,2024,25-34,Enterprise,44.70375,125152,24
Australia,Education,Midjourney,2024,25-34,SME,48.3252941176471,171179,34
Australia,Education,Midjourney,2024,25-34,Startup,35.9659090909091,111783,22
Australia,Education,Midjourney,2024,35-44,Enterprise,51.7414814814815,125002,27
Australia,Education,Midjourney,2024,35-44,SME,48.3228,120965,25
Australia,Education,Midjourney,2024,35-44,Startup,44.0960714285714,142105,28
Australia,Education,Midjourney,2024,45-54,Enterprise,49.5865217391304,140769,23
Australia,Education,Midjourney,2024,45-54,SME,47.3217391304348,107120,23
Australia,Education,Midjourney,2024,45-54,Startup,48.2235483870968,161098,31
Australia,Education,Midjourney,2024,55+,Enterprise,58.0582142857143,140273,28
Australia,Education,Midjourney,2024,55+,SME,50.2610344827586,131674,29
Australia,Education,Midjourney,2024,55+,Startup,57.4403703703704,130961,27
Australia,Education,Stable Diffusion,2023,18-24,Enterprise,33.74,19635,5
Australia,Education,Stable Diffusion,2023,18-24,SME,16.82,3021,2
Australia,Education,Stable Diffusion,2023,18-24,Startup,51.4725,38566,8
Australia,Education,Stable Diffusion,2023,25-34,Enterprise,68.28,10097,2
Australia,Education,Stable Diffusion,2023,25-34,SME,46.95,21497,8
Australia,Education,Stable Diffusion,2023,25-34,Startup,77.7775,31300,8
Australia,Education,Stable Diffusion,2023,35-44,Enterprise,49.132,22072,5
Australia,Education,Stable Diffusion,2023,35-44,SME,41.036,29112,5
Australia,Education,Stable Diffusion,2023,45-54,Enterprise,62.23875,48416,8
Australia,Education,Stable Diffusion,2023,45-54,SME,61.17,28643,4
Australia,Education,Stable Diffusion,2023,45-54,Startup,47.58,9237,3
Australia,Education,Stable Diffusion,2023,55+,Enterprise,42.63,24632,5
Australia,Education,Stable Diffusion,2023,55+,SME,38.212,21051,5
Australia,Education,Stable Diffusion,2023,55+,Startup,55.706,25306,5
Australia,Education,Stable Diffusion,2024,18-24,Enterprise,42.0325,82252,20
Australia,Education,Stable Diffusion,2024,18-24,SME,42.84,51523,8
Australia,Education,Stable Diffusion,2024,18-24,Startup,53.6515384615385,58585,13
Australia,Education,Stable Diffusion,2024,25-34,Enterprise,43.4966666666667,59987,15
Australia,Education,Stable Diffusion,2024,25-34,SME,48.01,58333,13
Australia,Education,Stable Diffusion,2024,25-34,Startup,40.64,49561,10
Australia,Education,Stable Diffusion,2024,35-44,Enterprise,65.2254545454546,64693,11
Australia,Education,Stable Diffusion,2024,35-44,SME,52.7393333333333,75088,15
Australia,Education,Stable Diffusion,2024,35-44,Startup,51.65,77286,15
Australia,Education,Stable Diffusion,2024,45-54,Enterprise,46.7316666666667,74802,18
Australia,Education,Stable Diffusion,2024,45-54,SME,55.5494117647059,95518,17
Australia,Education,Stable Diffusion,2024,45-54,Startup,49.25,85826,18
Australia,Education,Stable Diffusion,2024,55+,Enterprise,45.1211764705882,81392,17
Australia,Education,Stable Diffusion,2024,55+,SME,59.6625,38084,8
Australia,Education,Stable Diffusion,2024,55+,Startup,56.1826666666667,69463,15
Australia,Finance,Bard,2023,18-24,Enterprise,64.055,17067,4
Australia,Finance,Bard,2023,18-24,SME,46.525,15000,2
Australia,Finance,Bard,2023,18-24,Startup,62.8833333333333,6799,3
Australia,Finance,Bard,2023,25-34,Enterprise,52.77,19468,4
Australia,Finance,Bard,2023,25-34,SME,57.885,15355,2
Australia,Finance,Bard,2023,25-34,Startup,64.67,3881,1
Australia,Finance,Bard,2023,35-44,Enterprise,22.396,29831,5
Australia,Finance,Bard,2023,35-44,SME,49.1033333333333,5115,3
Australia,Finance,Bard,2023,35-44,Startup,45.8671428571429,32812,7
Australia,Finance,Bard,2023,45-54,SME,68.5525,19263,4
Australia,Finance,Bard,2023,45-54,Startup,82.83,446,1
Australia,Finance,Bard,2023,55+,Enterprise,85.385,13458,2
Australia,Finance,Bard,2023,55+,SME,59.3,22703,4
Australia,Finance,Bard,2024,18-24,Enterprise,53.3777777777778,38063,9
Australia,Finance,Bard,2024,18-24,SME,62.1514285714286,32213,7
Australia,Finance,Bard,2024,18-24,Startup,50.1625,56092,12
Australia,Finance,Bard,2024,25-34,Enterprise,62.71125,23013,8
Australia,Finance,Bard,2024,25-34,SME,51.07,75725,15
Australia,Finance,Bard,2024,25-34,Startup,51.805,10136,2
Australia,Finance,Bard,2024,35-44,Enterprise,54.0811111111111,28007,9
Australia,Finance,Bard,2024,35-44,SME,47.548,44891,10
Australia,Finance,Bard,2024,35-44,Startup,42.794,85020,15
Australia,Finance,Bard,2024,45-54,Enterprise,28.945,27199,4
Australia,Finance,Bard,2024,45-54,SME,51.9622222222222,55743,9
Australia,Finance,Bard,2024,45-54,Startup,56.468,23693,5
Australia,Finance,Bard,2024,55+,Enterprise,49.6007142857143,69229,14
Australia,Finance,Bard,2024,55+,SME,47.6133333333333,45543,9
Australia,Finance,Bard,2024,55+,Startup,53.195,26594,6
Australia,Finance,ChatGPT,2023,18-24,Enterprise,50.4,94954,19
Australia,Finance,ChatGPT,2023,18-24,SME,62.965,35074,10
Australia,Finance,ChatGPT,2023,18-24,Startup,51.93,99994,17
Australia,Finance,ChatGPT,2023,25-34,Enterprise,51.198,97326,15
Australia,Finance,ChatGPT,2023,25-34,SME,48.793,34313,10
Australia,Finance,ChatGPT,2023,25-34,Startup,36.41125,46496,8
Australia,Finance,ChatGPT,2023,35-44,Enterprise,54.0188888888889,81764,18
Australia,Finance,ChatGPT,2023,35-44,SME,36.690625,67705,16
Australia,Finance,ChatGPT,2023,35-44,Startup,54.9977777777778,93205,18
Australia,Finance,ChatGPT,2023,45-54,Enterprise,50.68,100322,16
Australia,Finance,ChatGPT,2023,45-54,SME,33.771,53028,10
Australia,Finance,ChatGPT,2023,45-54,Startup,44.5276923076923,66950,13
Australia,Finance,ChatGPT,2023,55+,Enterprise,47.2838095238095,100479,21
Australia,Finance,ChatGPT,2023,55+,SME,58.0342857142857,77256,14
Australia,Finance,ChatGPT,2023,55+,Startup,42.2645454545455,59535,11
Australia,Finance,ChatGPT,2024,18-24,Enterprise,48.9612121212121,148043,33
Australia,Finance,ChatGPT,2024,18-24,SME,42.6684848484848,185903,33
Australia,Finance,ChatGPT,2024,18-24,Startup,53.1239473684211,197608,38
Australia,Finance,ChatGPT,2024,25-34,Enterprise,52.2867647058824,185917,34
Australia,Finance,ChatGPT,2024,25-34,SME,51.1655555555556,126690,27
Australia,Finance,ChatGPT,2024,25-34,Startup,61.2334285714286,176869,35
Australia,Finance,ChatGPT,2024,35-44,Enterprise,49.5496774193548,169888,31
Australia,Finance,ChatGPT,2024,35-44,SME,56.6278125,136026,32
Australia,Finance,ChatGPT,2024,35-44,Startup,42.4125925925926,139405,27
Australia,Finance,ChatGPT,2024,45-54,Enterprise,46.4374285714286,144209,35
Australia,Finance,ChatGPT,2024,45-54,SME,50.0245454545455,133902,33
Australia,Finance,ChatGPT,2024,45-54,Startup,55.5406060606061,174295,33
Australia,Finance,ChatGPT,2024,55+,Enterprise,45.4210344827586,144095,29
Australia,Finance,ChatGPT,2024,55+,SME,58.4733333333333,154786,33
Australia,Finance,ChatGPT,2024,55+,Startup,58.3457692307692,110378,26
Australia,Finance,Claude,2023,18-24,Enterprise,30.205,16832,2
Australia,Finance,Claude,2023,18-24,Startup,32.75,4450,1
Australia,Finance,Claude,2023,25-34,Startup,64.34,24506,6
Australia,Finance,Claude,2023,35-44,Enterprise,14.325,10556,2
Australia,Finance,Claude,2023,35-44,SME,76.175,9137,2
Australia,Finance,Claude,2023,35-44,Startup,22.745,23626,4
Australia,Finance,Claude,2023,45-54,Enterprise,59.68,9246,2
Australia,Finance,Claude,2023,45-54,SME,35.275,5197,2
Australia,Finance,Claude,2023,45-54,Startup,48.9666666666667,10286,3
Australia,Finance,Claude,2023,55+,Enterprise,73.445,20510,4
Australia,Finance,Claude,2023,55+,SME,28.005,11946,2
Australia,Finance,Claude,2023,55+,Startup,27.0,18267,3
Australia,Finance,Claude,2024,18-24,Enterprise,26.5275,16286,4
Australia,Finance,Claude,2024,18-24,SME,71.475,16222,2
Australia,Finance,Claude,2024,18-24,Startup,58.17,29159,5
Australia,Finance,Claude,2024,25-34,Enterprise,40.4416666666667,25891,6
Australia,Finance,Claude,2024,25-34,SME,84.03,19390,4
Australia,Finance,Claude,2024,25-34,Startup,52.81,3376,1
Australia,Finance,Claude,2024,35-44,Enterprise,50.7033333333333,18640,3
Australia,Finance,Claude,2024,35-44,SME,40.232,22430,5
Australia,Finance,Claude,2024,35-44,Startup,43.4166666666667,11399,3
Australia,Finance,Claude,2024,45-54,Enterprise,41.0133333333333,16988,6
Australia,Finance,Claude,2024,45-54,SME,48.652,30027,5
Australia,Finance,Claude,2024,45-54,Startup,40.10375,43162,8
Australia,Finance,Claude,2024,55+,Enterprise,50.47,14826,4
Australia,Finance,Claude,2024,55+,SME,62.9733333333333,16023,3
Australia,Finance,Claude,2024,55+,Startup,41.354,15122,5
Australia,Finance,Midjourney,2023,18-24,Enterprise,44.5585714285714,116766,21
Australia,Finance,Midjourney,2023,18-24,SME,47.2081818181818,53572,11
